title,media_name
Former Go champion beaten by DeepMind retires after declaring AI invincible,The Verge
"What's happening to Paul Allen's billions? A year after his death, it's complicated",St. Louis Post Dispatch
"Trump slammed her as a U.S.-hating ""˜tax lady.' She just got a promotion.",Politico
A self-driving car pioneer teamed up with a doctor to create a healthcare AI startup that just raised $16.5 million to upend radiology,Business Insider
"Dispensed: The state of the consumer genetics market, a thorny issue facing Medicare for All, and a very Happy Thanksgiving to you all",thisisinsider.com
AI makes up pie names using Harry Potter fan fiction     - CNET,CNET
The 70 best video game characters of the decade,polygon.com
"Healthcare workers are uncomfortable with tech giants like Google handling patient data, a survey found",thisisinsider.com
Real Estate ETFs Bounce From Key Support,investopedia.com
"A former world champion of the game Go says he's retiring because AI is so strong that 'even if I become number one, there is an entity that cannot be defeated' (GOOG)",Business Insider
16 Facebook employees leading Mark Zuckerberg's mission to rebuild the social network and reverse its troubles in the massive 'pivot to privacy' (FB),Business Insider
"Buy This, Not That: 9 Black Friday TV deals you won't want to miss",Marketwatch
"Go Champion Realizes AI Has Rendered His Life Meaningless: ""˜There is an Entity That Cannot Be Defeated'",Gizmodo
Mind-reading A.I. analyzes your brainwaves to guess what video you&#8217;re watching,digitaltrends.com
"Across China, the clocks are striking thirteen. The people of Hong Kong hear it.",Washington Post
Google accused of union busting after firing &#8216;Thanksgiving Four&#8217;,NY Post
"SoftBank's Vision Fund has already had another difficult week, and this time its got nothing to do with WeWork",Business Insider
Nissan invests in production to prepare for electric age,Seattle Times
What is business process management?,techradar.com
See the exact moment the retiring world champion of Go realised DeepMind's machine was 'an entity that cannot be defeated',thisisinsider.com
Four reasons social networks gave us to be thankful this year,The Verge
"The 20 top tech skills that employers want and that can help you find a job, according to recruiting site Indeed",thisisinsider.com
"Bridging generations, Cherry Creek students act as volunteer &#8220;geek squad&#8221; for retirement community",The Denver Post
Check out the pitch deck e-commerce company VTEX used to get $140 million of venture funding from SoftBank,Business Insider
Teen Whose TikTok Account Was Suspended After Uighur Clip Says She Won't Be Silenced,Huffington Post
Your Next Car Will Be Watching You More Than It's Watching the Road,Gizmodo
Business Highlights,sfchronicle
Report claims TikTok parent company ByteDance is working with China's Communist Party to spread propaganda on Xinjiang,thisisinsider.com
"The Best Movies On Netflix Right Now, Ranked",uproxx.com
"Firms abet Uighur crackdown, report says
",Arkansas Democrat-Gazette 
"8 ski apps, ready for winter fun",Seattle Times
A former technical adviser to Bill Gates explains why his new venture firm will only invest in 'ethical' startup founders whose every action 'would be okay if it appeared in the newspaper' (MSFT),Business Insider
Movies on TV this week: 'Giant' on TCM,LA Times
Don't Buy Anyone a Ring Camera,Gizmodo
"Goodbye screens, Hello voice: Tech's biggest platform shift since the smartphone is happening. Here's what it means.",Business Insider
Atlanta&#8217;s growth numbers hide big divide ,The Atlanta Journal Constitution
Robotic dogs have been put to work by at least one police agency,Seattle Times
"Cards Against Humanity writers are battling an AI to keep their jobs, and you can watch",The Verge
"2 Amazon execs discuss plans to make a smarter Alexa that can anticipate your needs and stay ahead of Google in the voice wars (AMZN, GOOG)",Business Insider
The best Google Assistant smart speakers,Business Insider
'Cards Against Humanity' stunt has writers battling a comedy AI for their jobs,Mashable!
"Cards Against Humanity is pitting its writers against AI in a grueling, 16-hour Black Friday competition. The company claims it will fire the writers if they lose.",thisisinsider.com
China makes it a criminal offense to publish deepfakes or fake news without disclosure,The Verge
Nicklaus: Fady Hawatmeh thought St. Louis had nothing to offer startups. An Arch Grant changed his mind.,St. Louis Post Dispatch
"Stocks see rallies on trade war optimism, earnings wins",freep.com
"Read the New Short Story ""A Priest, a Rabbi, and a Robot Walk Into a Bar""",Slate.com
Tips for a safe Cyber Monday,San Antonio Express News
"The Pentagon is doing AI innovation right by letting companies bring ideas with 'wires hanging out' to the table, industry insider explains",Business Insider
"Why the fight against disinformation, sham accounts and trolls won't be any easier in 2020",Politico
The U.S. Army's Worst Tradition: Never Ready for the Next War,The Daily Beast
China is harassing journalists reporting on Uighurs. They cannot be stifled.,Washington Post
Make a career move in 2020 with these online trainings on sale for Black Friday,Mashable!
A.I. Could Bring a Sea Change in How People Experience Religious Faith,Slate.com
Europe must put security first with 5G,Politico
Leaked documents show how China operates Xinjiang detention centers - Business Insider,Business Insider
Bill Gates says open research is necessary to hire and keep AI talent - Business Insider,Business Insider
China's new industrial plan seems a lot like the old one,Politico
Fox News Teases Interview With Rick Perry Saying Trump Was God's 'Chosen One' to Be President,Washington Post
UK Conservative manifesto explained,Politico
